iter	Passed	Remaining
0	2	1459
1	5	1487
2	8	1373
3	11	1384
4	13	1366
5	16	1320
6	19	1349
7	21	1323
8	24	1313
9	26	1309
10	29	1298
11	32	1303
12	35	1312
13	37	1302
14	40	1303
15	42	1291
16	45	1296
17	48	1293
18	50	1283
19	53	1289
20	56	1278
21	58	1277
22	61	1270
23	64	1281
24	67	1282
25	69	1274
26	72	1275
27	75	1266
28	77	1259
29	81	1277
30	85	1291
31	89	1303
32	93	1326
33	96	1329
34	100	1336
35	103	1328
36	105	1325
37	109	1326
38	112	1327
39	115	1329
40	118	1325
41	121	1328
42	124	1320
43	127	1318
44	129	1310
45	132	1302
46	135	1301
47	137	1293
48	140	1293
49	143	1291
50	147	1296
51	149	1290
52	152	1285
53	155	1281
54	157	1274
55	160	1274
56	164	1276
57	167	1276
58	169	1269
59	172	1262
60	175	1260
61	177	1254
62	180	1253
63	183	1247
64	185	1241
65	188	1239
66	190	1233
67	193	1231
68	197	1233
69	200	1229
70	202	1226
71	205	1220
72	208	1218
73	210	1214
74	213	1211
75	216	1207
76	218	1202
77	221	1200
78	224	1195
79	226	1190
80	229	1188
81	232	1182
82	235	1180
83	237	1178
84	240	1173
85	243	1170
86	245	1165
87	248	1163
88	250	1158
89	253	1154
90	256	1151
91	258	1146
92	261	1143
93	264	1140
94	266	1135
95	269	1133
96	271	1128
97	274	1125
98	277	1122
99	279	1117
100	283	1118
101	285	1113
102	288	1111
103	290	1107
104	293	1102
105	296	1101
106	298	1098
107	301	1095
108	304	1092
109	306	1087
110	309	1085
111	312	1082
112	315	1079
113	317	1076
114	320	1072
115	323	1069
116	325	1065
117	327	1061
118	331	1060
119	333	1056
120	336	1054
121	338	1050
122	341	1046
123	344	1043
124	346	1040
125	350	1039
126	352	1036
127	355	1034
128	358	1031
129	360	1027
130	363	1025
131	366	1021
132	368	1017
133	371	1014
134	373	1009
135	376	1008
136	379	1004
137	381	1000
138	384	998
139	387	996
140	392	998
141	394	995
142	398	994
143	400	990
144	403	987
145	405	984
146	408	981
147	411	979
148	413	975
149	416	972
150	419	969
151	421	965
152	425	964
153	427	961
154	430	958
155	433	956
156	436	953
157	439	950
158	441	946
159	444	944
160	447	941
161	449	937
162	452	935
163	454	931
164	457	929
165	460	926
166	462	922
167	465	920
168	467	916
169	470	913
170	473	910
171	475	906
172	478	904
173	480	900
174	483	897
175	486	894
176	488	891
177	490	888
178	493	885
179	496	883
180	499	881
181	502	877
182	504	874
183	507	871
184	509	867
185	512	865
186	526	881
187	529	878
188	531	875
189	534	871
190	536	868
191	539	865
192	542	862
193	544	858
194	547	856
195	550	853
196	552	850
197	555	847
198	557	843
199	560	841
200	563	837
201	566	835
202	568	832
203	571	828
204	573	825
205	576	822
206	578	819
207	581	816
208	583	812
209	587	810
210	589	807
211	592	804
212	595	802
213	597	798
214	601	796
215	603	793
216	605	790
217	608	787
218	610	783
219	613	780
220	616	778
221	618	774
222	621	772
223	624	769
224	626	766
225	629	763
226	631	759
227	634	757
228	636	753
229	639	750
230	642	748
231	644	745
232	647	742
233	650	739
234	652	736
235	656	733
236	658	730
237	661	728
238	664	725
239	666	722
240	669	719
241	671	716
242	674	713
243	677	710
244	679	707
245	682	704
246	684	701
247	687	699
248	690	696
249	692	692
250	695	690
251	698	687
252	701	684
253	704	682
254	706	678
255	709	676
256	712	673
257	714	670
258	717	667
259	719	664
260	722	661
261	724	658
262	727	655
263	730	652
264	732	649
265	735	647
266	738	644
267	740	640
268	743	638
269	745	635
270	748	632
271	751	629
272	753	626
273	756	624
274	759	621
275	761	618
276	764	615
277	766	612
278	769	609
279	772	606
280	774	603
281	777	601
282	780	598
283	782	595
284	785	592
285	787	589
286	791	587
287	794	584
288	796	581
289	799	578
290	801	575
291	804	573
292	807	570
293	809	567
294	812	564
295	815	561
296	818	559
297	820	556
298	823	553
299	826	550
300	829	548
301	832	545
302	835	543
303	838	540
304	840	537
305	843	534
306	845	531
307	848	529
308	851	526
309	854	523
310	857	520
311	859	518
312	862	515
313	865	512
314	867	509
315	870	506
316	872	503
317	875	500
318	877	498
319	880	495
320	882	492
321	885	489
322	888	486
323	890	483
324	893	481
325	895	478
326	898	475
327	901	472
328	904	470
329	907	467
330	909	464
331	912	461
332	914	458
333	917	455
334	920	453
335	922	450
336	925	447
337	927	444
338	930	441
339	933	439
340	936	436
341	938	433
342	941	430
343	943	427
344	946	425
345	949	422
346	952	420
347	955	417
348	957	414
349	960	411
350	963	408
351	966	406
352	968	403
353	970	400
354	973	397
355	976	394
356	978	392
357	981	389
358	983	386
359	986	383
360	989	380
361	991	377
362	994	375
363	996	372
364	1000	369
365	1003	367
366	1005	364
367	1008	361
368	1010	358
369	1013	356
370	1016	353
371	1018	350
372	1021	347
373	1023	344
374	1026	342
375	1028	339
376	1031	336
377	1034	333
378	1036	330
379	1038	328
380	1041	325
381	1044	322
382	1046	319
383	1049	317
384	1051	314
385	1054	311
386	1057	308
387	1059	305
388	1063	303
389	1066	300
390	1069	298
391	1072	295
392	1074	292
393	1077	289
394	1079	286
395	1082	284
396	1084	281
397	1087	278
398	1090	275
399	1092	273
400	1095	270
401	1098	267
402	1100	264
403	1103	262
404	1106	259
405	1109	256
406	1111	254
407	1114	251
408	1117	248
409	1119	245
410	1122	243
411	1125	240
412	1127	237
413	1130	234
414	1132	231
415	1135	229
416	1138	226
417	1140	223
418	1143	221
419	1146	218
420	1149	215
421	1151	212
422	1154	210
423	1157	207
424	1159	204
425	1162	201
426	1164	199
427	1167	196
428	1170	193
429	1172	190
430	1175	188
431	1177	185
432	1180	182
433	1183	179
434	1186	177
435	1189	174
436	1191	171
437	1194	169
438	1197	166
439	1200	163
440	1202	160
441	1205	158
442	1208	155
443	1211	152
444	1213	149
445	1216	147
446	1218	144
447	1221	141
448	1224	139
449	1226	136
450	1228	133
451	1231	130
452	1234	128
453	1237	125
454	1239	122
455	1241	119
456	1244	117
457	1246	114
458	1249	111
459	1252	108
460	1254	106
461	1257	103
462	1260	100
463	1262	97
464	1265	95
465	1267	92
466	1270	89
467	1273	87
468	1275	84
469	1278	81
470	1280	78
471	1283	76
472	1285	73
473	1288	70
474	1290	67
475	1293	65
476	1295	62
477	1299	59
478	1302	57
479	1305	54
480	1307	51
481	1309	48
482	1312	46
483	1315	43
484	1317	40
485	1320	38
486	1322	35
487	1326	32
488	1329	29
489	1332	27
490	1335	24
491	1338	21
492	1341	19
493	1343	16
494	1346	13
495	1349	10
496	1351	8
497	1354	5
498	1356	2
499	1359	0
